"A"||"H"||1||0|||13|||13||0|0|0|0|0|0|100|100|100|98|99|100|95|97.5|100|90|95|100||17.1|||1.5|||2.1|||2.9|||5.3|||5.3|||27.9||||||||35|55|75||||1|2|3||||1.45|1.5|1.55|||||1.87|||0|0.21|0.42|0.15|0.18|0.2|||||37.4|||32.4|||40||6|7.5|8.9|50|71|92|25|43.5|62|25|48|74|".24"|".24"||0|||0||0|0|0|0|0|0|26.8|40.5|53.6||||22|37|54|5.6|6.7|7.8|||||||||||||||||||||||||||||||||"16451242"|"47852534"
"Bg"||"H"||2||13|||66|||53||0|0|0|0|0|0|100|100|100|98|99|100|95|97.5|100|90|95|100||17.1|||1.5|||2.1|||2.9|||5.3|||5.3|||27.9||||||||35|55|75||||0|0.25|0.5||||1.45|1.5|1.55|||||1.87|||0|0.21|0.42|0.15|0.18|0.2|||||37.4|||30.4|||41||6|7.5|8.9|50|71|92|25|43.5|62|25|48|74|".24"|".24"||0|||0||0|0|0|0|0|0|23.5|37.8|50.5||||19|35|51|5.6|6.7|7.8|||||||||||||||||||||||||||||||||"16451242"|"47852535"
"2C"|2|"H"||3||66|||165|||99||0|0|0|0|0|0|100|100|100|95|97.5|100|65|82.5|100|51|75.5|100||41.6|||3.9|||5.4|||7.3|||13|||12|||37.4||||||||10|21|32||||0|0.25|0.5||||1.4|1.45|1.5|||||1.52|||0.42|7.27|14.11|0.1|0.16|0.22|||||27.5|||12.3|||42||0|1.5|2.9|15|27.5|40|0|10|20|0|5|21|".37"|".37"||0|||0||0|0|0|0|0|0|8|16.5|24.3||||7|16|24|5.6|7|8.4|||||||||||||||||||||||||||||||||"16451242"|"47852536"
"A"||"H"||1||0|||10|||10||0|0|0|0|0|0|100|100|100|100|100|100|100|100|100|95|97.5|100||22.1|||3|||3.5|||4.1|||6.2|||5.3|||27.9||||||||40|50|60||||0.5|2.25|4||||1.2|1.35|1.5|||||1.7|||0|0.21|0.42|0.07|0.11|0.14|||||40|||29.1|||46||9|17|25|46|65.5|85|22|36|50|23|41|61|".24"|".24"||0|||0||0|0|0|0|0|0|20|30|40||||9|27|40|5.1|6.8|8.4|||||||||||||||||||||||||||||||||"16451243"|"47852531"
"Bssg"||"H"||2||10|||104|||94||0|0|0|0|0|0|100|100|100|100|100|100|100|100|100|95|97.5|100|0.5|1.8|3||0.2|||0.2|||0.3|||0.5|||0.6|||23.2||||||||60|75|90||||0|0.25|0.5||||1.2|1.35|1.5|||||1.88|||0|0.21|0.42|0.07|0.11|0.14|||||44|||40.2|||46||9|17|25|56|70.5|85|30|40|50|32|46|61|".17"|".17"|0|3|5||0||0|0|0|0|0|0|20|30|40||||9|27|40|5.6|7|8.4|||||||||||||||||||||||||||||||||"16451243"|"47852532"
"Bssyg"||"H"||3||104|||153|||49||0|0|0|0|0|0|100|100|100|100|100|100|100|100|100|95|97.5|100||16.2|||1.5|||2|||2.7|||5|||5|||26.3||||||||25|57.5|90||||0|0.25|0.5||||1.2|1.45|1.7|||||1.8|||0.42|0.92|1.41|0.12|0.17|0.22|||||39.1|||31.6|||43||6|7.5|8.9|32|58.5|85|11|30.5|50|10|35|61|".20"|".20"|0|3|5||0||0|0|0|0|0|0|5|22.5|40||||9|27|40|6.6|7.5|8.4|||||||||||||||||||||||||||||||||"16451243"|"47852533"
"Ap"||"A"||||0|||28||15|22|30|0|0|0|0|0|0|100|100|100|100|100|100|100|100|100|95|97.5|100|0.5|1.8|3||0.1|||0.1|||0.2|||0.6|||0.8|||53.2||||||||40|45|50||0||0.5|2.25|4||||1.35|1.5|1.65||||1.56|1.71|1.78||0.42|0.92|1.41|0.18|0.2|0.22||||27.6|33.6|35.9|22.6|27.6|32.4|34|40|45|3|4.5|5.9|40|57|66|28|32|36|29|35|43|".32"|".32"|0|0|0|0|0|0|0|0|0|0|0|0|10|17.5|25||||6|15|25|5.6|7|8.4|||||||||||||||||||||||||||||||||"16451271"|"47852369"
"Bg"||"B"||||107|||122||30|55|79|0|0|0|0|0|0|95|97.5|100|95|97.5|100|95|97.5|100|90|95|100||7.9|||0.2|||0.5|||0.9|||2.5|||3.8|||51.1||||||||27|41|55||||0|0.25|0.5||||1.2|1.43|1.65||||1.55|1.78|1.85||0.42|0.92|1.41|0.12|0.17|0.21||||20.6|30.5|35|15|22.3|30.4|35|43|52|6|7.5|8.9|38|52|65|19|30|40|17|31|46|".37"|".37"|0|3|5|0|0|0|0|0|0|0|0|0|15|27.5|40||||12|26|40|6.1|7.4|8.4|||||||||||||||||||||||||||||||||"16451271"|"47852370"
"Ab,Bgb"||"A"||||122|||203||0|12|25|0|0|0|0|0|0|95|97.5|100|95|97.5|100|90|95|100|60|75|90||17.3|||0.1|||0.4|||1.2|||5|||10.6|||48.7||||||||18|34|50||||0|0.25|0.5||||1.2|1.43|1.65||||1.4|1.63|1.7||0.42|0.92|1.41|0.12|0.17|0.21||||16.6|32.3|37|10|19.5|27.7|35|43|52|3|4.5|5.9|29|44|59|12|24|36|4|17|35|".43"|".43"|0|3|5|0|0|0|0|0|0|0|0|0|10|25|40||||9|24|40|6.1|7.4|8.4|||||||||||||||||||||||||||||||||"16451271"|"47852371"
"Bssg"||"B"||||28|||107||46|87|127|0|0|0|0|0|0|95|97.5|100|95|97.5|100|95|97.5|100|90|95|100|0.5|1.8|3||0.1|||0.1|||0.2|||0.6|||0.8|||50.7||||||||40|47.5|55||||0.5|0.75|1||||1.2|1.4|1.6||||1.73|2.06|2.06||0|0.21|0.42|0.12|0.17|0.21||||26.9|32.6|35.1|21.6|26.1|30.8|36|44|52|9|17|25|52|64|76|29|36|42|28|40|51|".32"|".32"|0|0|0|0|0|0|0|0|0|0|0|0|15|27.5|40||||11|25|40|5.6|7|8.4||||||||||0|4.1|9.9|||||||||||||||||||||"16451271"|"47852372"
