"Clay"||"95446460"|"97110290"
"Clay"||"95446461"|"97110427"
"Silty clay"||"95446462"|"97110581"
"Fine sandy loam"||"95446571"|"97110582"
"Loam"||"95446572"|"97110583"
"Silty clay loam"||"95446573"|"97110584"
"Clay"||"95446678"|"97110428"
"Clay"||"95446574"|"97110291"
"Clay"||"95446679"|"97110429"
"Silty clay loam"||"95446680"|"97110292"
"Silt loam"||"95446681"|"97110430"
"Silty clay"||"95446634"|"97110394"
"Clay"||"95446635"|"97110543"
"Silty clay"||"95446636"|"97110544"
"Silty clay loam"||"95446637"|"97110545"
"Silty clay loam"||"95446530"|"97110395"
"Silt loam"||"95446531"|"97110260"
"Silty clay"||"95446532"|"97110259"
"Clay"||"95446528"|"97110258"
"Silty clay"||"95446529"|"97110542"
"Silt loam"||"95446766"|"97110262"
"Silty clay loam"||"95446767"|"97110397"
"Clay"||"95446760"|"97110396"
"Clay"||"95446761"|"97110261"
"Silty clay"||"95446762"|"97110684"
"Silty clay loam"||"95446763"|"97110686"
"Fine sandy loam"||"95446764"|"97110687"
"Loam"||"95446765"|"97110685"
"Silt loam"||"95446533"|"97110263"
"Silt loam"||"95446638"|"97110398"
"Very fine sandy loam"||"95446639"|"97110546"
"Loam"||"95446640"|"97110547"
"Silt loam"||"95446416"|"97110392"
"Silty clay loam"||"95446417"|"97110680"
"Silt loam"||"95446418"|"97110681"
"Loam"||"95446419"|"97110682"
"Silty clay loam"||"95446420"|"97110683"
"Silt loam"||"95446421"|"97110393"
"Loam"||"95446422"|"97110257"
"Silty clay"||"95446536"|"97110550"
"Clay"||"95446425"|"97110401"
"Silty clay"||"95446426"|"97110266"
"Silty clay loam"||"95446427"|"97110402"
"Silty clay"||"95446428"|"97110267"
"Silty clay loam"||"95446429"|"97110688"
"Silt loam"||"95446430"|"97110689"
"Clay"||"95446423"|"97110551"
"Silty clay"||"95446424"|"97110552"
"Clay"||"95446641"|"97110399"
"Clay"||"95446534"|"97110264"
"Silty clay"||"95446535"|"97110400"
"Clay"||"95446642"|"97110265"
"Silty clay loam"||"95446643"|"97110548"
"Silt loam"||"95446644"|"97110549"
"Silty clay"||"95446850"|"97110728"
"Clay"||"95446993"|"97110729"
"Silty clay"||"95446994"|"97110730"
"Fine sandy loam"||"95446851"|"97110451"
"Loam"||"95446852"|"97110315"
"Silty clay loam"||"95446853"|"97110452"
"Clay"||"95446490"|"97110339"
"Silty clay"||"95446491"|"97110192"
"Clay"||"95446724"|"97110340"
"Silty clay"||"95446725"|"97110193"
"Clay"||"95446726"|"97110625"
"Silty clay loam"||"95446727"|"97110626"
"Silt loam"||"95446728"|"97110627"
"Clay"||"95446729"|"97110628"
"Silty clay"||"95446730"|"97110194"
"Clay"||"95446731"|"97110341"
"Silty clay"||"95446732"|"97110195"
"Fine sandy loam"||"95446492"|"97110342"
"Loam"||"95446493"|"97110196"
"Silty clay loam"||"95446494"|"97110490"
