"CL"|Yes|"47852597"|"90268971"
"CL-ML"|No |"47852597"|"90268972"
"ML"|No |"47852597"|"90268973"
"CH"|Yes|"47852596"|"90268762"
"CH"|Yes|"47852595"|"90268761"
"CH"|Yes|"47852600"|"90268759"
"CL"|No |"47852600"|"90268760"
"CH"|Yes|"47852599"|"90268758"
"CH"|Yes|"47852598"|"90268969"
"CL"|No |"47852598"|"90268970"
"ML"|No |"47852398"|"90268571"
"CL"|Yes|"47852398"|"90268572"
"CL-ML"|No |"47852398"|"90268573"
"CH"|Yes|"47852397"|"90269009"
"CH"|Yes|"47852396"|"90268570"
"CH"|Yes|"47852388"|"90268528"
"CL"|No |"47852388"|"90268529"
"CH"|Yes|"47852387"|"90268979"
"CH"|Yes|"47852386"|"90268526"
"CL"|No |"47852386"|"90268527"
"CH"|Yes|"47852385"|"90268660"
"CL"|Yes|"47852384"|"90268663"
"CH"|Yes|"47852383"|"90268661"
"CL"|No |"47852383"|"90268662"
"CH"|Yes|"47852382"|"90268980"
"CL"|No |"47852382"|"90268981"
"CL"|Yes|"47852381"|"90268657"
"CL-ML"|No |"47852381"|"90268658"
"ML"|No |"47852381"|"90268659"
"CL"|Yes|"47852380"|"90268656"
"CL"|Yes|"47852379"|"90268655"
"CL-ML"|Yes|"47852378"|"90268524"
"ML"|No |"47852378"|"90268525"
"CL-ML"|Yes|"47852377"|"90268977"
"ML"|No |"47852377"|"90268978"
"CL"|Yes|"47852376"|"90268769"
"CL-ML"|No |"47852376"|"90268770"
"ML"|No |"47852376"|"90268771"
"CH"|Yes|"47852375"|"90268768"
"CH"|Yes|"47852374"|"90268767"
"CL"|Yes|"47852373"|"90268772"
"ML"|No |"47852373"|"90268773"
"CL-ML"|No |"47852373"|"90268774"
"CH"|Yes|"47852372"|"90268975"
"CL"|Yes|"47852371"|"90268976"
"CH"|Yes|"47852370"|"90268522"
"CL"|No |"47852370"|"90268523"
"CH"|Yes|"47852369"|"90268520"
"CL"|No |"47852369"|"90268521"
"CH"|Yes|"47852533"|"90268580"
"CL"|No |"47852533"|"90268581"
"CH"|Yes|"47852532"|"90269017"
"CH"|Yes|"47852531"|"90268578"
"CL"|No |"47852531"|"90268579"
"CL"|Yes|"47852536"|"90269014"
"CL-ML"|No |"47852536"|"90269015"
"ML"|No |"47852536"|"90269016"
"CH"|Yes|"47852535"|"90268710"
"CH"|Yes|"47852534"|"90268709"
